0,1,2,3,4,5,6,7,8,9
"地区
regions ",,"侵权纠纷
infringement dispute", ,"其他纠纷
  other issues", ,"查处冒充
        专利行为
  punishment of pass-off of patents", ,"查处假冒
        他人专利行为
    punishment of conterfeit patents", 
"立案
  entertained","结案
  closed","立案
  entertained","结案
  closed","立案
  entertained","结案
  closed","立案
  entertained","结案
  closed",,
"合计
total",总累计             accumulated number,14834,12305,2285,1972,13818,13191,730,713
2008,1092,838,34,31,601,601,59,59,
北京,总累计             accumulated number,342,291,222,221,196,191,5,7
beijing,2008,42,27,1,1,0,0,0,0
天津,总累计             accumulated number,153,130,24,22,357,357,7,5
tianjin,2008,10,8,0,1,1,1,0,0
河北,总累计             accumulated number,351,329,88,88,925,924,33,33
hebei,2008,19,16,1,0,8,8,0,0
山西,总累计             accumulated number,74,56,45,36,42,38,19,18
shanxi,2008,3,2,0,0,2,2,2,2
内蒙古,总累计             accumulated number,81,90,10,10,668,668,3,3
inner mongolia,2008,10,9,0,0,56,56,0,0
辽宁,总累计             accumulated number,335,291,168,136,44,44,17,17
liaoning,2008,11,10,0,1,0,0,0,0
吉林,总累计             accumulated number,114,113,56,48,167,167,5,5
jilin,2008,0,0,0,0,0,0,0,0
黑龙江,总累计             accumulated number,372,321,111,100,85,85,4,5
heilongjiang,2008,0,0,1,0,0,0,0,0
上海,总累计             accumulated number,472,451,62,61,187,184,6,6
shanghai,2008,14,27,4,4,6,6,0,0
江苏,总累计             accumulated number,881,611,123,116,547,547,76,76
jiangsu,2008,85,33,0,0,18,18,0,0
浙江,总累计             accumulated number,1777,1511,77,66,79,78,9,7
zhejiang,2008,84,63,0,0,0,0,0,0
安徽,总累计             accumulated number,163,142,19,15,760,697,3,3
anhui,2008,19,4,0,0,6,6,0,0
福建,总累计             accumulated number,404,307,35,32,87,82,7,7
fujian,2008,39,27,0,0,21,21,0,0
江西,总累计             accumulated number,238,131,35,26,318,245,7,7
jiangxi,2008,16,14,0,0,31,31,0,0
山东,总累计             accumulated number,1551,1306,151,143,3669,3472,149,144
shandong,2008,182,146,0,0,134,134,3,3
河南,总累计             accumulated number,858,613,97,61,554,552,48,47
henan,2008,104,55,0,1,52,52,3,3
湖北,总累计             accumulated number,610,511,182,131,434,416,21,20
hubei,2008,49,37,0,0,34,34,0,0
湖南,总累计             accumulated number,493,420,224,202,774,774,33,33
hunan,2008,75,59,26,22,81,81,2,2
广东,总累计             accumulated number,3442,2925,193,174,944,921,168,166
guangdong,2008,199,198,0,0,32,32,46,46
广西,总累计             accumulated number,143,121,54,37,23,23,0,0
guangxi,2008,3,11,0,0,0,0,0,0
重庆,总累计             accumulated number,49,37,5,1,78,77,4,4
chongqing,2008,3,1,0,0,0,0,1,1
四川,总累计             accumulated number,698,596,136,111,430,427,53,51
sichuan,2008,31,30,0,0,28,28,0,0
贵州,总累计             accumulated number,143,104,25,21,498,459,3,2
guizhou,2008,5,2,0,0,1,1,0,0
云南,总累计             accumulated number,148,135,28,22,163,163,11,11
yunnan,2008,8,4,0,0,47,47,0,0
西藏,总累计             accumulated number,11,9,0,0,7,7,3,3
tibet,2008,0,0,0,0,6,6,1,1
陕西,总累计             accumulated number,144,116,29,24,677,675,0,0
shaanxi,2008,12,7,1,1,0,0,0,0
甘肃,总累计             accumulated number,124,83,25,18,6,5,2,1
gansu,2008,9,4,0,0,0,0,0,0
青海,总累计             accumulated number,15,13,9,10,62,62,1,1
qinghai,2008,0,0,0,0,0,0,0,0
宁夏,总累计             accumulated number,142,142,26,18,80,80,2,2
ningxia,2008,3,6,0,0,1,1,0,0
新疆,总累计             accumulated number,421,317,17,14,898,712,14,12
xinjiang,2008,56,38,0,0,36,36,1,1
海南,总累计             accumulated number,85,83,9,8,59,59,17,17
hainan,2008,1,0,0,0,0,0,0,0
