0,1,2,3,4,5,6,7,8,9
　, ,"发明
      Invention", ,"实用新型
      Utility Model", ,"外观设计
      Design", ,"合计
      Total", 
"数量
      Number","构成
      %","数量
      Number","构成
      %","数量
      Number","构成
      %","数量
      Number","构成
      %",,
"合计
      Total","受理量
      Application",6357860,34.8%,6625983,36.3%,5269438,28.9%,18253281,100.0%
"授权量
  Grant",1911203,18.3%,4969336,47.6%,3566350,34.1%,10446889,100.0%,
"有效量*
      In Force ",1472372,26.9%,2732553,49.9%,1272697,23.2%,5477622,100.0%,
"国内
      Domestic","受理量
      Application",4853594,29.4%,6576708,39.9%,5066508,30.7%,16496810,90.4%
"授权量
  Grant",1161979,12.3%,4926214,52.0%,3378158,35.7%,9466351,90.6%,
"有效量
In Force",919917,19.2%,2701030,56.4%,1170235,24.4%,4791182,87.5%,
"国外
      Foreign","受理量
      Application",1504266,85.6%,49275,2.8%,202930,11.6%,1756471,9.6%
"授权量
  Grant",749224,76.4%,43122,4.4%,188192,19.2%,980538,9.4%,
"有效量
In Force",552455,80.5%,31523,4.6%,102462,14.9%,686440,12.5%,
