0,1,2,3,4,5,6
"地区
Regions ",,"侵权纠纷
Infringement Dispute", ,"其他纠纷
  Other Issues", ,"查处假冒
        专利案件
  Punishment of Pass-off of Patents"
"立案
  Entertained","结案
  Closed","立案
  Entertained","结案
  Closed","结案
  Closed",,
"合计
Total",总累计             Accumulated Number,108234,104993,3301,3078,158320
2018,33976,33256,621,512,42679,
北京,总累计             Accumulated Number,1067,966,4,1,3740
Beijing,2018,297,304,3,1,1249
天津,总累计             Accumulated Number,535,529,8,8,2008
Tianjin,2018,121,116,0,0,268
河北,总累计             Accumulated Number,2848,2691,164,163,2695
Hebei,2018,809,695,10,10,534
山西,总累计             Accumulated Number,98,68,9,3,400
Shanxi,2018,43,35,0,0,163
内蒙古,总累计             Accumulated Number,74,70,0,0,2032
Inner Mongolia,2018,22,30,0,0,380
辽宁,总累计             Accumulated Number,1374,1351,77,75,2943
Liaoning,2018,608,610,0,0,544
吉林,总累计             Accumulated Number,385,375,4,4,164
Jilin,2018,136,132,0,0,36
黑龙江,总累计             Accumulated Number,1225,1170,824,746,2308
Heilongjiang,2018,383,368,247,182,840
上海,总累计             Accumulated Number,1046,1006,28,27,350
Shanghai,2018,260,244,4,4,121
江苏,总累计             Accumulated Number,6630,6313,364,360,28614
Jiangsu,2018,2078,1997,49,49,7529
浙江,总累计             Accumulated Number,46298,46282,403,403,5830
Zhejiang,2018,13013,13043,1,1,1720
安徽,总累计             Accumulated Number,2999,2778,73,53,4090
Anhui,2018,1162,1089,19,12,1434
福建,总累计             Accumulated Number,2158,2033,30,30,7024
Fujian,2018,1105,1047,4,4,1869
江西,总累计             Accumulated Number,738,568,5,2,2364
Jiangxi,2018,164,51,1,1,533
山东,总累计             Accumulated Number,3864,3742,44,40,16879
Shandong,2018,1475,1452,6,2,3611
河南,总累计             Accumulated Number,4183,3820,77,73,7793
Henan,2018,1682,1736,8,8,1922
湖北,总累计             Accumulated Number,2495,2262,52,47,8311
Hubei,2018,781,708,6,6,2119
湖南,总累计             Accumulated Number,2504,2251,315,233,19137
Hunan,2018,932,859,43,18,4251
广东,总累计             Accumulated Number,16446,15801,341,334,7789
Guangdong,2018,3974,3868,153,149,2484
广西,总累计             Accumulated Number,185,177,1,1,2711
Guangxi,2018,66,66,0,0,843
海南,总累计             Accumulated Number,25,14,4,4,383
Hainan,2018,6,2,1,1,91
重庆,总累计             Accumulated Number,1557,1532,54,54,1161
Chongqing,2018,472,472,7,7,279
四川,总累计             Accumulated Number,5786,5760,351,350,5475
Sichuan,2018,3037,3028,3,3,2072
贵州,总累计             Accumulated Number,228,197,2,0,14253
Guizhou,2018,17,21,2,0,5119
云南,总累计             Accumulated Number,256,231,0,0,1559
Yunnan,2018,39,34,0,0,611
西藏,总累计             Accumulated Number,0,0,0,0,0
Tibet,2018,0,0,0,0,0
陕西,总累计             Accumulated Number,812,706,9,9,3358
Shaanxi,2018,190,150,0,0,871
甘肃,总累计             Accumulated Number,645,602,0,0,2253
Gansu,2018,350,327,0,0,605
青海,总累计             Accumulated Number,25,18,0,0,61
Qinghai,2018,0,0,0,0,48
宁夏,总累计             Accumulated Number,198,186,51,51,127
Ningxia,2018,37,31,51,51,31
新疆,总累计             Accumulated Number,1550,1494,7,7,2508
Xinjiang,2018,717,741,3,3,502
新疆兵团,总累计             Accumulated Number,0,0,0,0,0
Xinjiangbingtuan,2017,0,0,0,0,0
