地区,年份,立案,结案,结案率
北京,2014,80,66,0.825
天津,2014,42,41,0.9761904761904762
河北,2014,189,212,1.1216931216931216
山西,2014,6,0,0.0
内蒙古,2014,8,8,1.0
辽宁,2014,17,15,0.8823529411764706
吉林,2014,39,79,2.0256410256410255
黑龙江,2014,63,59,0.9365079365079365
上海,2014,108,104,0.9629629629629629
江苏,2014,477,484,1.0146750524109014
浙江,2014,2963,3008,1.015187310158623
安徽,2014,136,113,0.8308823529411765
福建,2014,113,65,0.5752212389380531
江西,2014,77,80,1.0389610389610389
山东,2014,347,296,0.8530259365994236
河南,2014,243,353,1.4526748971193415
湖北,2014,156,128,0.8205128205128205
湖南,2014,156,138,0.8846153846153846
广东,2014,1811,1796,0.9917172832689122
广西,2014,11,11,1.0
海南,2014,4,0,0.0
重庆,2014,147,176,1.1972789115646258
四川,2014,140,156,1.1142857142857143
贵州,2014,37,31,0.8378378378378378
云南,2014,48,58,1.2083333333333333
西藏,2014,0,0,0.0
陕西,2014,79,31,0.3924050632911392
甘肃,2014,35,18,0.5142857142857142
青海,2014,7,6,0.8571428571428571
宁夏,2014,6,6,1.0
新疆,2014,126,102,0.8095238095238095
